Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,290 pages,Aprilynne Pike,1st Edition,"Aprilynne Pike has been spinning faerie stories since she was a child with a hyper-active imagination. At the age of twenty she received her BA in Creative Writing from Lewis-Clark State College in Lewiston, Idaho. When not writing, Aprilynne can usually be found at the gym; she also enjoys singing, acting, reading, and working with pregnant moms as a childbirth educator and doula. Aprilynne curre",Wings ,3.75,Hardcover,66499,5056084
"
                  ",333 pages,Penelope Douglas,3rd Edition,But he still won't leave me alone.,Bully,4.15,ebook,73213,20803953
English,729 pages,L.J. Smith,Omnibus, ,"Night World, No. 1",4.04,Paperback,56764,3099787
English,597 pages,Heidi Murkoff,Third edition,"Heidi Murkoff is the author of the What to Expect® series and author of Eating Well When You're Expecting, The What to Expect Pregnancy Journal & Organizer, What to Expect the First Year, The What to Expect Baby-Sitter's Handbook, and the What to Expect Kids series from HarperCollins. Her interactive website is ",What to Expect When You're Expecting,3.75,Paperback,40241,174703
"
                  ",304 pages,Charles Dickens,Barnes & Noble Classics Series,", is part of the ","
                  1593080336
                      ",4.11,Paperback,49280,169848
"
                  ",4081 pages,George R.R. Martin,4-Book Boxed Set," magazine—has created a world that is as rich and vital as any piece of historical fiction, set in an age of knights and chivalry and filled with a plethora of fascinating, multidimensional characters that you","
                  0345529057
                      ",4.63,Mass Market Paperback,39391,9814682
English,1556 pages,Homer,Boxed Set,"If 'The Iliad' is the world's greatest war story, then 'The Odyssey' is literature's greatest evocation of every man'",Ἰλιάς ; Ὀδύσσεια,4.03,Paperback,51443,1375
English,327 pages,Claudia Gray,1 Reprint Edition,"Then she meets Lucas. He's not the ""Evernight type"" either, and he likes it that way. Lucas ignores the rules, stands up to th",Evernight,3.64,Paperback,67398,2722413
English,371 pages,Janet Evanovich,Large Print,BAD LUCK:,Sizzling Sixteen,3.94,Paperback,63979,7023554
English,378 pages,Lee Child,Delacorte,"From a helicopter high above the empty California desert, a man is sent free-falling into the night…. In Chicago, a woman learns that an elite team of ex–army investigators is being hunted down one by one.... And on the streets of Portland, Jack Reacher—soldier, cop, hero—is pulled out of his wandering life by a code that few other people could understand. From the first shocking scenes in Lee Child’s explosive new novel, Jack Reacher is plunged like a knife into the heart of a conspiracy that is killing old friends…and is on its way to something even worse.",Bad Luck and Trouble,4.17,Hardcover,50837,108942
English,416 pages,Michael Scott,Deckle Edged,"Josh and Sophie Newman are finally home. And they're both more confused than ever about their future. Neither of them has mastered the magics they'll need to protect themselves, they've lost Scatty, and they're still being pursued by Dr. John Dee. Most disturbing of all, however, is that now they must ask themselves, can they trust Nicholas Flamel? Can they trust anyone?",The Necromancer: The Secrets of The Immortal Nicholas Flamel,4.12,Hardcover,50997,6693332
English,216 pages,Grant Morrison,15th Anniversary Edition,"In this groundbreaking, painted graphic novel, the inmates of Arkham Asylum have taken over Gotham's detention center for the criminally insane on April Fools Day, demanding Batman in exchange for their hostages. Accepting their demented challenge, Batman is forced to live and endure the personal hells of the Joker, Scarecrow, Poison Ivy, Two-Face and many other sworn enemies in order to save the innocents and retake the prison. During his run through this absurd gauntlet, the Dark Knight's own sanity is placed in jeopardy. This special anniversary edition trade paperback also reproduces the original script with annotations by Morrison and editor Karen Berger.",Batman: Arkham Asylum - A Serious House on Serious Earth,4.09,Paperback,48460,22374
"
                  ",136 pages,Roberto Aguirre-Sacasa,Premiere HC,"M-O-O-N spells the start of the third volume of Marvel's critically acclaimed adaptation of Stephen King's horror epic. Nick Andros has hit the road and teamed up with the child-like Tom Cullen. After the horrors of Captain Trips, a bike trip through Oklahoma and Nebraska sounds like fun, right? Except it's tornado season, True Believers, and not everyone Nick and Tom meet is on the side of the angels. Hell hath no fury like Julie Lawry, another survivor of the plague... Collects The Stand: Soul Survivors #1-5.","
                  0785136223
                      ",4.52,Hardcover,41028,7746259
English,308 pages,Janet Evanovich,Unabridged,"Dead bodies are showing up in shallow graves on the empty construction lot of Vincent Plum Bail Bonds. No one is sure who the killer is, or why the victims have been offed, but what is clear""""is that Stephanie's name is on the killer's list. ",Smokin' Seventeen,3.94,Audio CD,65010,9583508
English,937 pages,Neal Stephenson,1st,"Fraa Erasmas is a young avout living in the Concent of Saunt Edhar, a sanctuary for mathematicians, scientists, and philosophers, protected from the corrupting influences of the outside ""saecular"" world by ancient stone, honored traditions, and complex rituals. Over the centuries, cities and governments have risen and fallen beyond the concent's walls. Three times during history's darkest epochs violence born of superstition and ignorance has invaded and devastated the cloistered mathic community. Yet the avout have always managed to adapt in the wake of catastrophe, becoming out of necessity even more austere and less dependent on technology and material things. And Erasmas has no fear of the outside—the Extramuros—for the last of the terrible times was long, long ago.",Anathem,4.18,Hardcover,50013,2845024
English,272 pages,Elizabeth Berg,Oprah's Book Club,"Samantha's husband has left her, and after a spree of overcharging at Tiffany's, she settles down to reconstruct a life for herself and her eleven-year-old son. Her eccen",Open House,3.68,Paperback,49545,5190
English,433 pages,Anna Godbersen,1st Edition,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure, suddenly everyone--from the backstabbing socialite Penelope Hayes, to the debonair bachelor Henry Schoonmaker, to the spiteful maid Lina Broud--threatens Elizabeth's and Diana's golden future. With the fate of the Hollands resting on her shoulders, Elizabeth must choose between family duty and true love. But when her carriage overturns near the East River, the girl whose glittering life lit up the city's gossip pages is swallowed by the rough current. As all of New York grieves, some begin to wonder whether life at the top proved too much for this ethereal beauty, or if, perhaps, someone wanted to see Manhattan's most celebrated daughter disappear... In a world of luxury and deception, where appearance matters above everything and breaking the social code means running the risk of being ostracized forever, five teenagers lead dangerously scandalous lives. This thrilling trip to the age of innocence is anything but innocent.",The Luxe,3.63,Hardcover,61916,1254951
English,404 pages,Harlan Coben,First Edition,"Twenty years ago, four teenagers at summer camp walked into the woods at night. Two were found murdered, and the others were never seen again. Four families had their lives changed forever. Now, two decades later, they are about to change again. For Paul Copeland, the county prosecutor of Essex, New Jersey, mourning the loss of his sister has only recently begun to subside. Cope, as he is known, is now dealing with raising his six- year-old daughter as a single father after his wife has died of cancer. Balancing family life and a rapidly ascending career as a prosecutor distracts him from his past traumas, but only for so long. When a homicide victim is found with evidence linking him to Cope, the well-buried secrets of the prosecutor's family are threatened.",The Woods,4.04,Hardcover,51532,43931
